card_1,card_2,weight
Argent Commander,Glacial Shard,1
Argent Commander,Green Jelly,1
Argent Commander,High Priest Thekal,1
Argent Commander,Holy Nova,1
Argent Commander,Hyldnir Frostrider,1
Argent Commander,Jade Claws,1
Argent Commander,Jade Lightning,1
Argent Commander,Jasper Spellstone,1
Argent Commander,Kalimos,1
Argent Commander,Kobold Apprentice,1
Argent Commander,Kobold Illusionist,1
Argent Commander,Leeroy Jenkins,1
Argent Commander,Lesser Jasper Spellstone,1
Argent Commander,Lightning Bolt,1
Argent Commander,Lone Champion,1
Argent Commander,Lost in the Jungle,1
Argent Commander,Mad Bomber,1
Argent Commander,Malfurion the Pestilent,1
Argent Commander,Mossy Horror,1
Argent Commander,Mountain Giant,1
Argent Commander,Muster for Battle,1
Argent Commander,Necrium Blade,1
Argent Commander,Nightmare Amalgam,1
Argent Commander,Nourish,1
Argent Commander,Omega Defender,1
Argent Commander,Plated Beetle,1
Argent Commander,Prince Keleseth,1
Argent Commander,Raging Worgen,1
Argent Commander,Ravasaur Runt,1
Argent Commander,Razorpetal,1
Argent Commander,Redemption,1
Argent Commander,Replicating Menace,1
Argent Commander,Shadow Visions,1
Argent Commander,Shield Slam,1
Argent Commander,Ship's Cannon,1
Argent Commander,Shroom Brewer,1
Argent Commander,SI:7 Agent,1
Argent Commander,Sindragosa,1
Argent Commander,Skaterbot,1
Argent Commander,Spiteful Summoner,1
Argent Commander,Steam Surger,1
Argent Commander,Steel Rager,1
Argent Commander,Stitched Tracker,1
Argent Commander,Stonehill Defender,1
Argent Commander,Stoneskin Basilisk,1
Argent Commander,Storm Chaser,1
Argent Commander,Stormforged Axe,1
Argent Commander,Stormwind Champion,1
Argent Commander,Stubborn Gastropod,1
Argent Commander,Swift Messenger,1
Argent Commander,Tracking,1
Argent Commander,Trogg Gloomeater,1
Argent Commander,Twilight Drake,1
Argent Commander,Ultimate Infestation,1
Argent Commander,Vicious Scalehide,1
Argent Commander,Violet Wurm,1
Argent Commander,Wax Elemental,1
Argent Commander,Weaponized Piñata,1
Argent Commander,Wild Growth,1
Argent Commander,Wing Blast,1
Argent Commander,Witchwood Piper,1
Argent Commander,Wolfrider,1
Argent Commander,Zilliax,1
Argent Horserider,Acolyte of Pain,1
Argent Horserider,Animal Companion,1
Argent Horserider,Arcane Shot,1
Argent Horserider,Argent Commander,1
Argent Horserider,Argent Protector,1
Argent Horserider,Assassinate,1
Argent Horserider,Bog Slosher,1
Argent Horserider,Brann Bronzebeard,1
Argent Horserider,Cobalt Scalebane,1
Argent Horserider,Daring Fire-Eater,1
Argent Horserider,Deadly Poison,1
Argent Horserider,Deathlord,1
Argent Horserider,Defile,1
Argent Horserider,Devolve,1
Argent Horserider,Fal'dorei Strider,1
Argent Horserider,Flamewreathed Faceless,1
Argent Horserider,Hammer of Wrath,1
Argent Horserider,Hunter's Mark,1
Argent Horserider,Kazakus,1
Argent Horserider,Leeroy Jenkins,1
Argent Horserider,Lifedrinker,1
Argent Horserider,Mechwarper,1
Argent Horserider,Murkspark Eel,1
Argent Horserider,Muster for Battle,1
Argent Horserider,Myra's Unstable Element,1
Argent Horserider,Noble Sacrifice,1
Argent Horserider,Novice Engineer,1
Argent Horserider,Poison Seeds,1
Argent Horserider,Primordial Glyph,1
Argent Horserider,Saronite Chain Gang,1
Argent Horserider,Shadow Word: Pain,1
Argent Horserider,Sylvanas Windrunner,1
Argent Horserider,The Soularium,1
Argent Horserider,Town Crier,1
Argent Horserider,Unleash the Hounds,1
Argent Horserider,Unstable Evolution,1
Argent Protector,Acidic Swamp Ooze,1
Argent Protector,Annoy-o-Module,1
Argent Protector,Anti-Magic Shell,1
Argent Protector,Autodefense Matrix,1
Argent Protector,Bananas,1
Argent Protector,Blessed Maul,1
Argent Protector,Blessing of Might,1
Argent Protector,Boisterous Bard,1
Argent Protector,Call to Arms,1
Argent Protector,Cobalt Scalebane,1
Argent Protector,Cold Blood,1
Argent Protector,Coppertail Imposter,1
Argent Protector,Crystology,1
Argent Protector,Dragonmaw Scorcher,1
Argent Protector,Explodinator,1
Argent Protector,Frost Elemental,1
Argent Protector,Genn Greymane,1
Argent Protector,Giant Wasp,1
Argent Protector,Guild Recruiter,1
Argent Protector,Hench-Clan Thug,1
Argent Protector,Loot Hoarder,1
Argent Protector,Meat Wagon,1
Argent Protector,Murloc Tidehunter,1
Argent Protector,Radiant Elemental,1
Argent Protector,Rotten Applebaum,1
Argent Protector,Secret Plan,1
Argent Protector,Shadow Visions,1
Argent Protector,Shield Slam,1
Argent Protector,Silver Hand Recruit,1
Argent Protector,Sound the Bells!,1
Argent Protector,Southsea Deckhand,1
Argent Protector,Stitched Tracker,1
Argent Protector,The Lich King,1
Argent Protector,Windfury Harpy,1
Argent Protector,Witchwood Grizzly,1
Argent Squire,Aldor Peacekeeper,1
Argent Squire,Amani Berserker,1
Argent Squire,Amethyst Spellstone,1
Argent Squire,Anti-Magic Shell,1
Argent Squire,Arcane Explosion,1
Argent Squire,Arcane Keysmith,1
Argent Squire,Arcanologist,1
Argent Squire,Argent Commander,1
Argent Squire,Autodefense Matrix,1
Argent Squire,Avenging Wrath,1
Argent Squire,Bearshark,1
Argent Squire,Blessing of Kings,1
Argent Squire,Blessing of Wisdom,1
Argent Squire,Blightnozzle Crawler,1
Argent Squire,Bone Drake,1
Argent Squire,Book of Specters,1
Argent Squire,Call to Arms,1
Argent Squire,Carnassa's Brood,1
Argent Squire,Cinderstorm,1
Argent Squire,Cosmic Anomaly,1
Argent Squire,Cursed Castaway,1
Argent Squire,Daring Fire-Eater,1
Argent Squire,Defender of Argus,1
Argent Squire,Dirty Rat,1
Argent Squire,Doomhammer,1
Argent Squire,Dragonslayer,1
Argent Squire,Dread Infernal,1
Argent Squire,Elise the Trailblazer,1
Argent Squire,Emerald Reaver,1
Argent Squire,Fal'dorei Strider,1
Argent Squire,Felsoul Inquisitor,1
Argent Squire,Fen Creeper,1
Argent Squire,Fiery War Axe,1
Argent Squire,Flanking Strike,1
Argent Squire,Flare,1
Argent Squire,Frostbolt,1
Argent Squire,Glow-Tron,1
Argent Squire,Gluttonous Ooze,1
Argent Squire,Greater Emerald Spellstone,1
Argent Squire,Hallucination,1
Argent Squire,Holy Fire,1
Argent Squire,Hooked Reaver,1
Argent Squire,Houndmaster,1
Argent Squire,King Mukla,1
Argent Squire,Kingsbane,1
Argent Squire,Lesser Emerald Spellstone,1
Argent Squire,Lightwarden,1
Argent Squire,Mechanical Whelp,1
Argent Squire,Mecharoo,1
Argent Squire,Mountain Giant,1
Argent Squire,Necrium Vial,1
Argent Squire,Nesting Roc,1
Argent Squire,Nightmare Amalgam,1
Argent Squire,Noble Sacrifice,1
Argent Squire,Northshire Cleric,1
Argent Squire,Nourish,1
Argent Squire,Oaken Summons,1
Argent Squire,Plated Beetle,1
Argent Squire,Potion of Madness,1
Argent Squire,Power Word: Shield,1
Argent Squire,Primalfin Totem,1
Argent Squire,Rain of Toads,1
Argent Squire,Redemption,1
Argent Squire,Rockbiter Weapon,1
Argent Squire,Sap,1
Argent Squire,Seaforium Bomber,1
Argent Squire,Shadowblade,1
Argent Squire,Shadowflame,1
Argent Squire,Skaterbot,1
Argent Squire,Spikeridged Steed,1
Argent Squire,Spirit of the Shark,1
Argent Squire,Sprint,1
Argent Squire,Stargazer Luna,1
Argent Squire,Stitched Tracker,1
Argent Squire,Stormforged Axe,1
Argent Squire,Supercollider,1
Argent Squire,Swashburglar,1
Argent Squire,Tanglefur Mystic,1
Argent Squire,The Lich King,1
Argent Squire,Truesilver Champion,1
Argent Squire,Twilight Drake,1
Argent Squire,Unleash the Hounds,1
Argent Squire,Upgradeable Framebot,1
Argent Squire,Violet Wurm,1
Argent Squire,Wandering Monster,1
Argent Squire,Water Elemental,1
Argent Squire,Wing Blast,1
Argent Squire,Wispering Woods,1
Argent Squire,Witch's Cauldron,1
Argent Squire,Witchwood Grizzly,1
Argent Squire,Wrath,1
Argent Squire,Zombie Chow,1
Army of the Dead,Acolyte of Pain,1
Army of the Dead,Alexstrasza,1
Army of the Dead,Argent Commander,1
Army of the Dead,Blessing of Wisdom,1
Army of the Dead,Blizzard,1
Army of the Dead,Brawl,1
Army of the Dead,Cheaty Anklebiter,1
Army of the Dead,Cult Master,1
Army of the Dead,Deadly Poison,1
Army of the Dead,Death and Decay,1
Army of the Dead,Death Grip,1
Army of the Dead,Devilsaur Egg,1
Army of the Dead,Diamond Spellstone,1
Army of the Dead,Dirty Rat,1
Army of the Dead,Dragonslayer,1
Army of the Dead,Dyn-o-matic,1
Army of the Dead,Explosive Trap,1
Army of the Dead,Fire Fly,1
Army of the Dead,Fire Plume's Heart,1
Army of the Dead,Frog,1
Army of the Dead,Frostbolt,1
Army of the Dead,Fungalmancer,1
Army of the Dead,Green Jelly,1
Army of the Dead,Hydrologist,1
Army of the Dead,Leeroy Jenkins,1
Army of the Dead,Murkspark Eel,1
Army of the Dead,Murmuring Elemental,1
Army of the Dead,Oaken Summons,1
Army of the Dead,Primalfin Totem,1
Army of the Dead,Primordial Drake,1
Army of the Dead,Prince Keleseth,1
Army of the Dead,Prophet Velen,1
Army of the Dead,Psychic Scream,1
Army of the Dead,Ragnaros the Firelord,1
Army of the Dead,Saronite Chain Gang,1
Army of the Dead,Shadow Visions,1
Army of the Dead,Shadow Word: Pain,1
Army of the Dead,Ship's Cannon,1
Army of the Dead,Springpaw,1
Army of the Dead,Stonehill Defender,1
Army of the Dead,Stubborn Gastropod,1
Army of the Dead,Swift Messenger,1
Army of the Dead,Wild Pyromancer,1
Army of the Dead,Windfury Harpy,1
Assassinate,Acolyte of Pain,1
Assassinate,Arcane Missiles,1
Assassinate,Avalanche,1
Assassinate,Backstab,1
Assassinate,Bittertide Hydra,1
Assassinate,Blightnozzle Crawler,1
Assassinate,Bone Drake,1
Assassinate,Bonemare,1
Assassinate,Champion's Maul,1
Assassinate,Charged Devilsaur,1
Assassinate,Cheap Shot,1
Assassinate,Cloning Device,1
Assassinate,Coldlight Oracle,1
Assassinate,Coppertail Imposter,1
Assassinate,Crystology,1
Assassinate,Dark Iron Dwarf,1
Assassinate,Dark Iron Skulker,1
Assassinate,Dire Mole,1
Assassinate,Dragonmaw Scorcher,1
Assassinate,Dragonslayer,1
Assassinate,Elven Minstrel,1
Assassinate,Emerald Reaver,1
Assassinate,Eviscerate,1
Assassinate,Fal'dorei Strider,1
Assassinate,Fire Fly,1
Assassinate,Frostbolt,1
Assassinate,Fungal Enchanter,1
Assassinate,Furious Ettin,1
Assassinate,Giggling Inventor,1
Assassinate,Gilded Gargoyle,1
Assassinate,Golakka Crawler,1
Assassinate,Guild Recruiter,1
Assassinate,Hunter's Mark,1
Assassinate,Ironbeak Owl,1
Assassinate,Kill Command,1
Assassinate,Lab Recruiter,1
Assassinate,Loot Hoarder,1
Assassinate,Microtech Controller,1
Assassinate,More Arms!,1
Assassinate,Myra's Unstable Element,1
Assassinate,N'Zoth,1
Assassinate,Prince Keleseth,1
Assassinate,Raging Worgen,1
Assassinate,Razorpetal,1
Assassinate,Rotten Applebaum,1
Assassinate,Sap,1
Assassinate,Saronite Chain Gang,1
Assassinate,Sated Threshadon,1
Assassinate,Sen'jin Shieldmasta,1
Assassinate,Shield Block,1
Assassinate,Shiv,1
Assassinate,Shooting Star,1
Assassinate,Shroom Brewer,1
Assassinate,SI:7 Agent,1
Assassinate,Soulfire,1
Assassinate,Southsea Deckhand,1
Assassinate,Steel Rager,1
Assassinate,Tainted Zealot,1
Assassinate,Tar Creeper,1
Assassinate,Toxicologist,1
Assassinate,Valeera the Hollow,1
Assassinate,Volcanosaur,1
Assassinate,Voodoo Doll,1
Assassinate,Wandering Monster,1
Assassinate,Witch's Cauldron,1
Assassinate,Witchwood Grizzly,1
Astral Rift,Acherus Veteran,1
Astral Rift,Acidic Swamp Ooze,1
Astral Rift,Arcane Dynamo,1
Astral Rift,Arcane Keysmith,1
Astral Rift,Arcanologist,1
Astral Rift,Arena Fanatic,1
Astral Rift,Baron Geddon,1
Astral Rift,Black Cat,1
Astral Rift,Blizzard,1
Astral Rift,Bloodsail Raider,1
Astral Rift,Bluegill Warrior,1
Astral Rift,Bonemare,1
Astral Rift,Cinderstorm,1
Astral Rift,Cornered Sentry,1
Astral Rift,Curious Glimmerroot,1
Astral Rift,Dark Iron Dwarf,1
Astral Rift,Doomsayer,1
Astral Rift,Dragon's Fury,1
Astral Rift,Dragonslayer,1
Astral Rift,Elven Archer,1
Astral Rift,Faerie Dragon,1
Astral Rift,Faithful Lumi,1
Astral Rift,Fire Elemental,1
Astral Rift,Fire Fly,1
Astral Rift,Frog,1
Astral Rift,Furious Ettin,1
Astral Rift,Grumble,1
Astral Rift,Hench-Clan Thug,1
Astral Rift,Hyldnir Frostrider,1
Astral Rift,King Mukla,1
Astral Rift,Kirin Tor Mage,1
Astral Rift,Lone Champion,1
Astral Rift,Mana Wyrm,1
Astral Rift,Mechwarper,1
Astral Rift,Murmuring Elemental,1
Astral Rift,Novice Engineer,1
Astral Rift,Pyromaniac,1
Astral Rift,Replicating Menace,1
Astral Rift,Research Project,1
Astral Rift,Rin,1
Astral Rift,Rotten Applebaum,1
Astral Rift,Rusty Recycler,1
Astral Rift,Saronite Chain Gang,1
Astral Rift,Shimmering Tempest,1
Astral Rift,Sindragosa,1
Astral Rift,Snake Trap,1
Astral Rift,Sorcerer's Apprentice,1
Astral Rift,Steel Rager,1
Astral Rift,Stoneskin Basilisk,1
Astral Rift,Stonetusk Boar,1
Astral Rift,Swashburglar,1
Astral Rift,Tundra Rhino,1
Astral Rift,Voltaic Burst,1
Astral Rift,Weaponized Piñata,1
Astral Tiger,Amani War Bear,1
Astral Tiger,Animal Companion,1
Astral Tiger,Anti-Magic Shell,1
Astral Tiger,Biology Project,1
Astral Tiger,Cavern Shinyfinder,1
Astral Tiger,Chief Inspector,1
Astral Tiger,Darius Crowley,1
Astral Tiger,Death Coil,1
Astral Tiger,Deathspeaker,1
Astral Tiger,Dire Mole,1
Astral Tiger,Excess Mana,1
Astral Tiger,Fire Fly,1
Astral Tiger,Fireball,1
Astral Tiger,Free From Amber,1
Astral Tiger,Frog,1
Astral Tiger,Juicy Psychmelon,1
Astral Tiger,Loatheb,1
Astral Tiger,Master Oakheart,1
Astral Tiger,Nesting Roc,1
Astral Tiger,Rat Trap,1
Astral Tiger,Sap,1
Astral Tiger,Spiritsinger Umbra,1
Astral Tiger,Spreading Plague,1
Astral Tiger,Starfall,1
Astral Tiger,Steel Rager,1
Astral Tiger,Stonehill Defender,1
Astral Tiger,Tar Creeper,1
Astral Tiger,Vilespine Slayer,1
Astral Tiger,Voltaic Burst,1
Astral Tiger,Wrath,1
Astral Tiger,Zilliax,1
Astromancer,Animal Companion,1
Astromancer,Arcane Explosion,1
Astromancer,Arcane Intellect,1
Astromancer,Arcanologist,1
Astromancer,Argent Squire,1
Astromancer,Awaken the Makers,1
Astromancer,Bananas,1
Astromancer,Bearshark,1
Astromancer,Bittertide Hydra,1
Astromancer,Blackwald Pixie,1
Astromancer,Bonemare,1
Astromancer,Bonfire Elemental,1
Astromancer,Branching Paths,1
Astromancer,Celestial Emissary,1
Astromancer,Charged Devilsaur,1
Astromancer,Cheaty Anklebiter,1
Astromancer,Cone of Cold,1
Astromancer,Deadly Poison,1
Astromancer,Death and Decay,1
Astromancer,Direhorn Hatchling,1
Astromancer,Doomsayer,1
Astromancer,Dragoncaller Alanna,1
Astromancer,Explosive Runes,1
Astromancer,Extra Arms,1
Astromancer,Giant Mastodon,1
Astromancer,Golakka Crawler,1
Astromancer,Grim Necromancer,1
Astromancer,Hydrologist,1
Astromancer,Ice Barrier,1
Astromancer,Kingsbane,1
Astromancer,Kirin Tor Mage,1
Astromancer,Lava Burst,1
Astromancer,Lone Champion,1
Astromancer,Loot Hoarder,1
Astromancer,Northshire Cleric,1
Astromancer,Plated Beetle,1
Astromancer,Pyros,1
Astromancer,Questing Adventurer,1
Astromancer,Rin,1
Astromancer,Rotten Applebaum,1
Astromancer,Rusty Recycler,1
Astromancer,Shadow Visions,1
Astromancer,Shadow Word: Pain,1
Astromancer,Skull of the Man'ari,1
Astromancer,Spellbreaker,1
Astromancer,Spider Bomb,1
Astromancer,Steam Surger,1
Astromancer,Stoneskin Basilisk,1
Astromancer,Swift Messenger,1
Astromancer,Tol'vir Stoneshaper,1
Astromancer,Treant,1
Astromancer,Twilight Drake,1
Astromancer,Vilespine Slayer,1
Astromancer,Wax Elemental,1
Astromancer,Wolfrider,1
Auchenai Soulpriest,Acherus Veteran,1
Auchenai Soulpriest,Ancient Brewmaster,1
Auchenai Soulpriest,Anti-Magic Shell,1
Auchenai Soulpriest,Argent Commander,1
Auchenai Soulpriest,Bittertide Hydra,1
Auchenai Soulpriest,Branching Paths,1
Auchenai Soulpriest,Brawl,1
Auchenai Soulpriest,Curious Glimmerroot,1
Auchenai Soulpriest,Dead Ringer,1
Auchenai Soulpriest,Death Coil,1
Auchenai Soulpriest,Defender of Argus,1
Auchenai Soulpriest,Dragonmaw Scorcher,1
Auchenai Soulpriest,Edwin VanCleef,1
Auchenai Soulpriest,Eviscerate,1
Auchenai Soulpriest,Fire Plume Phoenix,1
Auchenai Soulpriest,Frog,1
Auchenai Soulpriest,Giggling Inventor,1
Auchenai Soulpriest,Greater Diamond Spellstone,1
Auchenai Soulpriest,Guild Recruiter,1
Auchenai Soulpriest,Holy Nova,1
Auchenai Soulpriest,Holy Smite,1
Auchenai Soulpriest,Jade Blossom,1
Auchenai Soulpriest,Knife Juggler,1
Auchenai Soulpriest,Lightwarden,1
Auchenai Soulpriest,Mind Blast,1
Auchenai Soulpriest,Mind Control Tech,1
Auchenai Soulpriest,More Arms!,1
Auchenai Soulpriest,Mortal Coil,1
Auchenai Soulpriest,Mountain Giant,1
Auchenai Soulpriest,Necrium Blade,1
Auchenai Soulpriest,Primordial Drake,1
Auchenai Soulpriest,Prophet Velen,1
Auchenai Soulpriest,Scaleworm,1
Auchenai Soulpriest,Secretkeeper,1
Auchenai Soulpriest,Shadow Essence,1
Auchenai Soulpriest,Shady Dealer,1
Auchenai Soulpriest,Shroom Brewer,1
Auchenai Soulpriest,Sprint,1
Auchenai Soulpriest,Stubborn Gastropod,1
Auchenai Soulpriest,Swashburglar,1
Auchenai Soulpriest,Thoughtsteal,1
Auchenai Soulpriest,Tidal Surge,1
Auchenai Soulpriest,Topsy Turvy,1
Auchenai Soulpriest,Totem Golem,1
Auchenai Soulpriest,Trogg Gloomeater,1
Auchenai Soulpriest,Truesilver Champion,1
Auchenai Soulpriest,Unleash the Hounds,1
Auchenai Soulpriest,Upgradeable Framebot,1
Auchenai Soulpriest,Wild Growth,1
Auchenai Soulpriest,Witchwood Piper,1
Augmented Elekk,Acolyte of Pain,1
Augmented Elekk,Animal Companion,1
Augmented Elekk,Annoy-o-Module,1
Augmented Elekk,Argent Squire,1
Augmented Elekk,Baku the Mooneater,1
Augmented Elekk,Bearshark,1
Augmented Elekk,Blink Fox,1
Augmented Elekk,Boisterous Bard,1
Augmented Elekk,Bright-Eyed Scout,1
Augmented Elekk,Cavern Shinyfinder,1
Augmented Elekk,Charged Devilsaur,1
Augmented Elekk,Cobalt Scalebane,1
Augmented Elekk,Coppertail Imposter,1
Augmented Elekk,Crackling Razormaw,1
Augmented Elekk,Crystology,1
Augmented Elekk,Deadly Shot,1
Augmented Elekk,Devilsaur Egg,1
Augmented Elekk,Dire Wolf Alpha,1
Augmented Elekk,Doomsayer,1
Augmented Elekk,Elven Archer,1
Augmented Elekk,Explosive Trap,1
Augmented Elekk,Faceless Manipulator,1
Augmented Elekk,Ferocious Howl,1
Augmented Elekk,Flametongue Totem,1
Augmented Elekk,Gadgetzan Auctioneer,1
Augmented Elekk,Giggling Inventor,1
Augmented Elekk,Glacial Shard,1
Augmented Elekk,Gluttonous Ooze,1
Augmented Elekk,Houndmaster,1
Augmented Elekk,Ironbeak Owl,1
Augmented Elekk,Jeweled Macaw,1
Augmented Elekk,Kathrena Winterwisp,1
Augmented Elekk,King Mukla,1
Augmented Elekk,Lesser Emerald Spellstone,1
Augmented Elekk,Lone Champion,1
Augmented Elekk,Lynx,1
Augmented Elekk,Lyra the Sunshard,1
Augmented Elekk,Mechanical Whelp,1
Augmented Elekk,Mortal Coil,1
Augmented Elekk,Mountain Giant,1
Augmented Elekk,Nesting Roc,1
Augmented Elekk,Northshire Cleric,1
Augmented Elekk,Ornery Direhorn,1
Augmented Elekk,Piloted Reaper,1
Augmented Elekk,Plated Beetle,1
Augmented Elekk,Pogo-Hopper,1
Augmented Elekk,Psionic Probe,1
Augmented Elekk,Raptor Hatchling,1
Augmented Elekk,Rhok'delar,1
Augmented Elekk,Rotten Applebaum,1
Augmented Elekk,Saronite Chain Gang,1
Augmented Elekk,Secretkeeper,1
Augmented Elekk,Shadowstep,1
Augmented Elekk,Sheep,1
Augmented Elekk,Slam,1
Augmented Elekk,Snake Trap,1
Augmented Elekk,Sonya Shadowdancer,1
Augmented Elekk,Spider Bomb,1
Augmented Elekk,Spikeridged Steed,1
Augmented Elekk,Stubborn Gastropod,1
Augmented Elekk,Subject 9,1
Augmented Elekk,Sunwalker,1
Augmented Elekk,Supercollider,1
Augmented Elekk,Timber Wolf,1
Augmented Elekk,Tundra Rhino,1
Augmented Elekk,Tuskarr Fisherman,1
Augmented Elekk,Un'Goro Pack,1
Augmented Elekk,Upgradeable Framebot,1
Augmented Elekk,Vicious Fledgling,1
Augmented Elekk,Wolfrider,1
Augmented Elekk,Youthful Brewmaster,1
Augmented Elekk,Zilliax,1
Autodefense Matrix,Amani War Bear,1
Autodefense Matrix,Argent Protector,1
Autodefense Matrix,Argent Squire,1
Autodefense Matrix,Blackwald Pixie,1
Autodefense Matrix,Blessed Maul,1
Autodefense Matrix,Call to Arms,1
Autodefense Matrix,Consecration,1
Autodefense Matrix,Death and Decay,1
Autodefense Matrix,Divine Favor,1
Autodefense Matrix,Drygulch Jailor,1
Autodefense Matrix,Flash of Light,1
Autodefense Matrix,Giggling Inventor,1
Autodefense Matrix,Glacial Shard,1
Autodefense Matrix,Hydrologist,1
Autodefense Matrix,Kaboom Bot,1
Autodefense Matrix,Level Up!,1
Autodefense Matrix,Mechano-Egg,1
Autodefense Matrix,Noble Sacrifice,1
Autodefense Matrix,Potion of Heroism,1
Autodefense Matrix,Pterrordax Hatchling,1
Autodefense Matrix,Rotten Applebaum,1
Autodefense Matrix,Saronite Chain Gang,1
Autodefense Matrix,Secretkeeper,1
Autodefense Matrix,Sir Finley Mrrgglton,1
Autodefense Matrix,Sound the Bells!,1
Autodefense Matrix,Spikeridged Steed,1
Autodefense Matrix,Stonehill Defender,1
Autodefense Matrix,Volatile Elemental,1
Autodefense Matrix,Witchwood Piper,1
Avalanche,Al'Akir the Windlord,1
Avalanche,Ancestral Spirit,1
Avalanche,Arena Fanatic,1
Avalanche,Avalanche,1
Avalanche,Black Cat,1
Avalanche,Blazing Invocation,1
Avalanche,Blessing of Wisdom,1
Avalanche,Chillwind Yeti,1
Avalanche,Coppertail Imposter,1
Avalanche,Corpsetaker,1
Avalanche,Crackle,1
Avalanche,Crushing Hand,1
Avalanche,Death and Decay,1
Avalanche,Eggnapper,1
Avalanche,Elise the Trailblazer,1
Avalanche,Fal'dorei Strider,1
Avalanche,Fan of Knives,1
Avalanche,Far Sight,1
Avalanche,Fire Plume Phoenix,1
Avalanche,Frog,1
Avalanche,Frostwolf Warlord,1
Avalanche,Fungalmancer,1
Avalanche,Glacial Shard,1
Avalanche,Gluttonous Ooze,1
Avalanche,Greater Emerald Spellstone,1
Avalanche,Grumble,1
Avalanche,Hench-Clan Thug,1
Avalanche,Inner Fire,1
Avalanche,Ironbeak Owl,1
Avalanche,Level Up!,1
Avalanche,Mecharoo,1
Avalanche,Mind Control,1
Avalanche,Mind Control Tech,1
Avalanche,Mossy Horror,1
Avalanche,Nightmare Amalgam,1
Avalanche,Phantom Militia,1
Avalanche,Preparation,1
Avalanche,Prince Keleseth,1
Avalanche,Rockbiter Weapon,1
Avalanche,Sandbinder,1
Avalanche,SI:7 Agent,1
Avalanche,Stonehill Defender,1
Avalanche,Unstable Evolution,1
Avalanche,Vinecleaver,1
Avenging Wrath,Academic Espionage,1
Avenging Wrath,Blessing of Kings,1
Avenging Wrath,Bloodmage Thalnos,1
Avenging Wrath,Call to Arms,1
Avenging Wrath,Crystalsmith Kangor,1
Avenging Wrath,Death Coil,1
Avenging Wrath,Despicable Dreadlord,1
Avenging Wrath,Dire Mole,1
Avenging Wrath,Divine Hymn,1
Avenging Wrath,Fan of Knives,1
Avenging Wrath,Furious Ettin,1
Avenging Wrath,Hammer of Wrath,1
Avenging Wrath,Houndmaster Shaw,1
Avenging Wrath,Leeroy Jenkins,1
Avenging Wrath,Loot Hoarder,1
Avenging Wrath,Mossy Horror,1
Avenging Wrath,Redemption,1
Avenging Wrath,Sap,1
Avenging Wrath,Scavenging Hyena,1
Avenging Wrath,Skulking Geist,1
Avenging Wrath,Sound the Bells!,1
Avenging Wrath,Spellbreaker,1
Avenging Wrath,Stonehill Defender,1
Avenging Wrath,Sunkeeper Tarim,1
Avenging Wrath,The Glass Knight,1
Avenging Wrath,Vinecleaver,1
Awaken the Makers,Acidic Swamp Ooze,1
Awaken the Makers,Acolyte of Pain,1
Awaken the Makers,Awaken the Makers,1
Awaken the Makers,Coldlight Oracle,1
Awaken the Makers,Eviscerate,1
Awaken the Makers,Frog,1
Awaken the Makers,Gnomeferatu,1
Awaken the Makers,Hemet,1
Awaken the Makers,Mass Hysteria,1
Awaken the Makers,Mirage Caller,1
Awaken the Makers,Mistress of Mixtures,1
Awaken the Makers,Netherspite Historian,1
Awaken the Makers,Sheep,1
Awaken the Makers,Shield Block,1
Awaken the Makers,Skulking Geist,1
Awaken the Makers,Twilight Drake,1
Awaken the Makers,Voodoo Doll,1
Awaken the Makers,Witchwood Piper,1
Aya Blackpaw,Acidic Swamp Ooze,1
Aya Blackpaw,Amani Berserker,1
Aya Blackpaw,Ancestral Knowledge,1
Aya Blackpaw,Arcane Missiles,1
Aya Blackpaw,Aya Blackpaw,1
Aya Blackpaw,Bloodbloom,1
Aya Blackpaw,Bloodmage Thalnos,1
Aya Blackpaw,Buccaneer,1
Aya Blackpaw,Deadly Poison,1
Aya Blackpaw,Elven Archer,1
Aya Blackpaw,Excess Mana,1
Aya Blackpaw,Explosive Sheep,1
Aya Blackpaw,Faerie Dragon,1
Aya Blackpaw,Fiery War Axe,1
Aya Blackpaw,Flame Elemental,1
Aya Blackpaw,Forked Lightning,1
Aya Blackpaw,Frostbolt,1
Aya Blackpaw,Gluttonous Ooze,1
Aya Blackpaw,Greedy Sprite,1
Aya Blackpaw,Grumble,1
Aya Blackpaw,Hex,1
Aya Blackpaw,Innervate,1
Aya Blackpaw,Kingsbane,1
Aya Blackpaw,Lab Recruiter,1
Aya Blackpaw,Lesser Jasper Spellstone,1
Aya Blackpaw,Lightning Bolt,1
Aya Blackpaw,Living Roots,1
Aya Blackpaw,Mark of the Lotus,1
Aya Blackpaw,Mossy Horror,1
Aya Blackpaw,Mountain Giant,1
Aya Blackpaw,Patches the Pirate,1
Aya Blackpaw,Piloted Shredder,1
Aya Blackpaw,Poison Seeds,1
Aya Blackpaw,Radiant Elemental,1
Aya Blackpaw,Rockbiter Weapon,1
Aya Blackpaw,Rotten Applebaum,1
Aya Blackpaw,Saronite Chain Gang,1
Aya Blackpaw,Servant of Kalimos,1
Aya Blackpaw,Silence,1
Aya Blackpaw,Sorcerer's Apprentice,1
Aya Blackpaw,Spellbreaker,1
Aya Blackpaw,Spreading Plague,1
Aya Blackpaw,Starfall,1
Aya Blackpaw,Stonehill Defender,1
Aya Blackpaw,Town Crier,1
